,commentCount
0,0
1,0
2,0
3,0
4,1
5,1
6,0
7,0
8,0
9,0
10,0
11,0
12,1
13,28
14,0
15,0
16,0
17,0
18,942
19,0
20,0
21,8
22,3
23,2
24,1
25,9
26,1
27,663
28,43
29,26
30,4
31,3
32,25
33,6
34,24
35,9
36,25
37,15
38,3
39,0
40,11
41,7
42,6
43,19
44,65
45,132
46,1
47,0
48,17
49,0
50,6
51,23
52,4
53,4
54,4
55,38
56,0
57,16
58,117
59,10
60,7
61,2
62,6
63,2
64,13
65,186
66,14
67,45
68,1
69,2
70,4
71,6
72,0
73,129
74,3
75,25
76,19
77,4
78,3
79,33
80,2
81,3
82,2
83,9
84,4
85,2
86,12
87,4
88,0
89,3
90,7
91,0
92,2
93,2
94,12
95,1
96,5
97,4
98,20
99,11
100,39
101,12
102,9
103,54
104,7
105,1
106,1
107,4
108,0
109,2
110,38
111,0
112,21
113,25
114,5
115,0
116,73
117,2
118,1
119,296
120,0
121,0
122,2
123,3
124,0
125,24
126,4
127,0
128,17
129,34
130,5
131,1
132,0
133,400
134,0
135,55
136,4
137,3
138,1
139,6
140,10
141,213
142,9
143,4
144,4
145,14
146,7
147,1
148,30
149,5
150,3
151,17
152,13
153,9
154,3
155,82
156,4
157,83
158,6
159,2
160,15
161,3
162,1
163,13
164,8
165,65
166,9
167,13
168,16
169,17
170,2
171,4
172,18
173,0
174,1
175,0
176,101
177,18
178,8
179,1
180,38
181,6
182,47
183,10
184,33
185,22
186,12
187,17
188,12
189,13
190,3
191,10
192,37
193,12
194,9
195,1
196,10
197,5
198,1
199,7
200,16
201,7
202,5
203,4
204,10
205,16
206,19
207,12
208,13
209,8
210,24
211,25
212,4
213,8
214,8
215,10
216,5
217,1
218,25
219,25
220,2
221,24
222,10
223,12
224,7
225,24
226,3
227,3
228,1
229,3
230,14
231,3
232,0
233,25
234,6
235,25
236,1
237,1
238,12
239,25
240,3
241,2
242,23
243,25
244,1
245,7
246,3
247,20
248,13
249,25
250,3
251,25
252,5
253,4
254,17
255,24
256,1
257,7
258,2
259,24
260,1
261,6
262,0
263,8
264,7
265,1
266,0
267,4
268,1
269,11
270,3
271,1
272,1
273,0
274,1
275,4
276,11
277,9
278,0
279,0
280,3
281,25
282,1
283,15
284,24
285,16
286,1
287,1
288,0
289,11
290,3
291,1
292,2
293,12
294,2
295,12
296,14
297,17
298,4
299,9
300,25
301,7
302,0
303,4
304,9
305,22
306,24
307,0
308,16
309,2
310,17
311,24
312,5
313,5
314,23
315,4
316,22
317,3
318,0
319,4
320,3
321,3
322,2
323,25
324,21
325,2
326,21
327,11
328,24
329,3
330,10
331,18
332,1
333,4
334,1
335,23
336,6
337,11
338,1
339,1
340,0
341,1
342,14
343,9
344,25
345,6
346,3
347,1
348,25
349,24
350,22
351,8
352,4
353,17
354,3
355,7
356,4
357,1
358,3
359,6
360,25
361,11
362,25
363,3
364,2
365,1
366,5
367,1
368,5
369,0
370,2
371,11
372,6
373,7
374,5
375,7
376,0
377,11
378,4
379,2
380,25
381,5
382,17
383,1
384,12
385,7
386,3
387,4
388,1
389,25
390,7
391,2
392,25
393,4
394,11
395,4
396,8
397,4
398,9
399,1
400,15
401,4
402,2
403,3
404,5
405,1
406,1
407,8
408,1
409,10
410,18
411,4
412,25
413,10
414,12
415,0
416,4
417,25
418,2
419,2
420,23
421,13
422,23
423,21
424,14
425,3
426,2
427,2
428,18
429,2
430,0
431,4
432,2
433,25
434,15
435,24
436,3
437,14
438,4
439,7
440,0
441,3
442,17
443,7
444,15
445,6
446,14
447,18
448,25
449,0
450,2
451,25
452,0
453,5
454,25
455,2
456,4
457,2
458,3
459,6
460,2
461,1
462,25
463,8
464,3
465,5
466,1
467,1
468,23
469,25
470,11
471,9
472,1
473,6
474,0
475,3
476,2
477,1
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,39
486,1
487,0
488,4
489,1
490,4
491,0
492,13
493,1
494,3
495,18
496,2
497,2
498,0
499,7
500,4
501,18
502,3
503,0
504,0
505,3
506,31
507,43
508,4
509,0
510,3
511,14
512,5
513,875
514,6
515,18
516,3
517,11
518,3
519,10
520,16
521,3
522,17
523,14
524,23
525,12
526,36
527,5
528,5
529,1
530,9
531,6
