,shareCount,commentCount
0,0,0
1,0,0
2,0,0
3,0,1
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,1
11,0,2
12,0,1
13,29,28
14,0,0
15,0,0
16,0,3
17,0,0
18,25,6
19,0,0
20,0,4
21,6,0
22,3,2
23,4,0
24,1,4
25,8,9
26,1,45
27,28,149
28,27,34
29,27,18
30,4,7
31,3,3
32,25,1
33,6,1
34,24,21
35,9,0
36,25,7
37,15,0
38,3,0
39,0,0
40,11,3
41,0,15
42,0,21
43,0,92
44,0,150
45,0,1023
46,0,30
47,0,18
48,0,258
49,0,24
50,0,9
51,0,90
52,0,23
53,0,40
54,0,55
55,0,221
56,0,12
57,0,46
58,0,18
59,0,115
60,0,17
61,0,12
62,0,15
63,0,85
64,0,28
65,0,1125
66,0,14
67,0,370
68,0,14
69,0,22
70,0,40
71,0,28
72,0,11
73,0,305
74,0,29
75,0,38
76,0,47
77,0,40
78,0,29
79,0,75
80,0,31
81,0,10
82,0,42
83,0,44
84,0,24
85,0,16
86,0,51
87,0,31
88,0,6
89,0,38
90,0,51
91,0,0
92,0,10
93,0,21
94,0,53
95,0,7
96,0,5
97,0,9
98,0,22
99,0,19
100,0,327
101,0,29
102,0,44
103,0,479
104,0,27
105,0,5
106,0,5
107,0,14
108,0,8
109,0,5
110,0,552
111,0,12
112,0,223
113,0,50
114,0,12
115,0,2
116,0,288
117,0,42
118,0,6
119,0,2892
120,0,4
121,0,5
122,0,5
123,0,21
124,0,4
125,0,96
126,0,27
127,0,2
128,0,7
129,0,179
130,0,55
131,0,8
132,0,0
133,0,882
134,0,0
135,0,275
136,0,2
137,0,74
138,0,20
139,0,23
140,0,12
141,0,3
142,0,38
143,0,7
144,0,24
145,0,37
146,0,35
147,0,9
148,0,122
149,0,40
150,0,4
151,0,35
152,0,45
153,0,76
154,0,16
155,0,415
156,0,28
157,0,531
158,0,44
159,0,0
160,0,32
161,0,12
162,0,6
163,0,27
164,0,18
165,0,56
166,0,27
167,0,1
168,0,48
169,0,93
170,0,5
171,0,13
172,0,63
173,0,0
174,0,1
175,0,17
176,0,101
177,0,8
178,0,33
179,0,9
180,0,129
181,0,9
182,0,198
183,0,12
184,0,259
185,0,107
186,0,75
187,0,38
188,0,3
189,0,29
190,0,0
191,0,4
192,0,27
193,0,3
194,0,7
195,0,1
196,0,14
197,0,11
198,0,16
199,0,4
200,0,26
201,0,0
202,0,12
203,0,10
204,0,22
205,0,52
206,19,32
207,0,40
208,0,6
209,8,24
210,24,13
211,25,18
212,4,76
213,8,86
214,8,14
215,10,61
216,5,6
217,1,16
218,25,308
219,25,116
220,2,2
221,24,331
222,10,5
223,12,83
224,7,20
225,24,145
226,3,12
227,3,19
228,1,5
229,3,16
230,14,288
231,3,1
232,0,7
233,25,149
234,6,33
235,25,1
236,1,17
237,1,10
238,12,35
239,25,4
240,3,19
241,2,11
242,23,48
243,25,96
244,1,7
245,7,66
246,3,26
247,20,29
248,13,18
249,25,534
250,3,10
251,25,61
252,5,20
253,4,1
254,17,67
255,24,5
256,1,14
257,7,52
258,2,19
259,24,171
260,1,16
261,6,11
262,0,99
263,8,109
264,7,28
265,1,14
266,0,8
267,4,13
268,1,4
269,11,17
270,3,2
271,1,17
272,1,7
273,0,4
274,1,4
275,4,29
276,11,15
277,9,35
278,0,8
279,0,14
280,3,9
281,25,18
282,1,4
283,15,103
284,24,310
285,16,65
286,1,7
287,1,2
288,0,7
289,11,59
290,3,2
291,1,13
292,2,1
293,12,45
294,2,11
295,12,68
296,14,1
297,17,8
298,4,4
299,9,79
300,25,262
301,7,5
302,0,11
303,4,5
304,9,4
305,22,181
306,24,32
307,0,5
308,16,5
309,2,0
310,17,35
311,24,66
312,5,4
313,5,7
314,23,0
315,4,0
316,22,29
317,3,47
318,0,13
319,4,25
320,3,25
321,3,6
322,2,1
323,25,1888
324,21,95
325,2,53
326,21,153
327,11,7
328,24,23
329,3,15
330,10,31
331,18,9
332,1,34
333,4,11
334,1,48
335,23,0
336,6,9
337,11,31
338,1,10
339,1,1
340,0,39
341,1,6
342,14,7
343,9,29
344,25,75
345,6,34
346,3,58
347,1,19
348,25,1346
349,24,122
350,22,0
351,8,15
352,4,14
353,17,53
354,3,11
355,7,25
356,4,5
357,1,13
358,3,2
359,6,12
360,25,1476
361,11,35
362,25,4302
363,3,13
364,2,22
365,1,32
366,5,17
367,1,0
368,5,8
369,0,5
370,2,5
371,11,11
372,6,113
373,7,38
374,5,49
375,7,23
376,0,0
377,11,31
378,4,7
379,2,71
380,25,536
381,5,5
382,17,42
383,1,2
384,12,49
385,7,11
386,3,24
387,4,0
388,1,32
389,25,404
390,7,17
391,2,31
392,25,466
393,4,7
394,11,42
395,4,3
396,8,16
397,4,10
398,9,43
399,1,2
400,15,44
401,4,11
402,2,1
403,3,18
404,5,19
405,1,5
406,1,6
407,8,22
408,1,17
409,10,27
410,18,98
411,4,6
412,25,293
413,10,25
414,12,13
415,0,11
416,4,39
417,25,43
418,2,31
419,2,22
420,23,63
421,13,69
422,23,64
423,21,104
424,14,152
425,3,55
426,2,12
427,2,17
428,18,87
429,2,7
430,0,13
431,4,13
432,2,1
433,25,84
434,15,54
435,24,222
436,3,3
437,14,0
438,4,40
439,7,42
440,0,11
441,3,58
442,17,35
443,7,60
444,15,48
445,6,18
446,14,86
447,18,19
448,25,60
449,0,15
450,2,48
451,25,664
452,0,17
453,5,0
454,25,146
455,2,3
456,4,44
457,2,15
458,3,6
459,6,2
460,2,9
461,0,7
462,25,17
463,8,139
464,3,0
465,5,7
466,1,8
467,0,40
468,23,84
469,25,156
470,11,28
471,9,130
472,1,54
473,6,15
474,0,8
475,3,3
476,2,2
477,1,22
478,0,0
479,0,7
480,0,0
481,0,39
482,0,0
483,0,4
484,0,5
485,0,75
486,0,2
487,0,12
488,0,16
489,0,11
490,0,34
491,0,6
492,0,193
493,0,5
494,0,19
495,0,47
496,0,2
497,0,8
498,0,5
499,0,30
500,0,27
501,0,74
502,0,12
503,0,4
504,0,5
505,0,12
506,0,135
507,0,4
508,0,14
509,0,10
510,0,10
511,0,109
512,0,14
513,0,21
514,0,51
515,0,113
516,0,29
517,0,130
518,0,25
519,0,52
520,0,43
521,0,9
522,0,21
523,0,96
524,0,73
525,0,48
526,0,259
527,0,6
528,0,25
529,0,16
530,0,34
531,0,6
532,0,3
533,0,83
534,0,39
535,0,174
536,0,217
537,0,68
538,0,46
539,0,10
540,0,156
541,0,7
542,0,55
543,0,35
544,0,16
545,0,10
546,0,102
547,0,93
548,0,35
549,0,44
550,0,215
551,0,6
552,0,125
553,0,8
554,0,123
555,0,97
556,0,71
557,0,20
558,0,32
559,0,21
560,0,13
561,0,25
562,0,30
563,0,29
564,0,63
565,0,69
566,0,79
567,0,82
568,0,12
569,0,23
