,fanCount,numberOfRatings,talkingAboutCount,shareCount,commentCount,sentiment
0,481,18,70,0,0,-1.0
1,95698,90,963,1,0,-1.0
2,95698,90,963,0,0,-1.0
3,32721,0,223,0,0,-1.0
4,227751,0,1424,0,0,-1.0
5,227751,0,1424,1,0,-1.0
6,227751,0,1424,2,0,-1.0
7,69997,117,3684,1,0,-1.0
8,69997,117,3684,28,29,0.6069833333333333
9,69997,117,3684,0,0,-1.0
10,3610,0,2,0,0,-1.0
11,3610,0,2,3,0,-1.0
12,79365,264,611,6,25,0.5668
13,79365,264,611,0,0,-1.0
14,79365,264,611,4,0,-1.0
15,731997,0,6289,0,6,0.19334
16,731997,0,6289,2,3,-0.09225
17,731997,0,6289,0,4,0.4215
18,755546,0,9771,4,1,0.0
19,755546,0,9771,9,8,0.4019
20,755546,0,9771,45,1,0.0
21,6349004,0,64869,149,28,0.37245263157894737
22,6349004,0,64869,34,27,0.23053333333333334
23,6349004,0,64869,18,27,0.46671
24,10681,0,551,7,4,0.6246666666666667
25,10681,0,551,3,3,0.05710000000000002
26,30790,0,1019,1,25,-0.20696666666666666
27,30790,0,1019,1,6,0.0
28,30790,0,1019,21,24,0.21793
29,30790,0,1019,0,9,0.0
30,30790,0,1019,7,25,0.27248
31,30790,0,1019,0,15,0.4404
32,30790,0,1019,0,3,0.0
33,30790,0,1019,0,0,-1.0
34,30790,0,1019,3,11,0.0
35,416163,0,22118,15,0,-1.0
36,416163,0,22118,21,0,-1.0
37,416163,0,22118,92,0,-1.0
38,416163,0,22118,150,0,-1.0
39,416163,0,22118,1023,0,-1.0
40,416163,0,22118,30,0,-1.0
41,416163,0,22118,18,0,-1.0
42,416163,0,22118,258,0,-1.0
43,416163,0,22118,24,0,-1.0
44,416163,0,22118,9,0,-1.0
45,416163,0,22118,90,0,-1.0
46,416163,0,22118,23,0,-1.0
47,416163,0,22118,40,0,-1.0
48,416163,0,22118,55,0,-1.0
49,416163,0,22118,221,0,-1.0
50,416163,0,22118,12,0,-1.0
51,416163,0,22118,46,0,-1.0
52,416163,0,22118,115,0,-1.0
53,416163,0,22118,17,0,-1.0
54,416163,0,22118,85,0,-1.0
55,416163,0,22118,28,0,-1.0
56,416163,0,22118,1125,0,-1.0
57,416163,0,22118,14,0,-1.0
58,416163,0,22118,370,0,-1.0
59,416163,0,22118,22,0,-1.0
60,416163,0,22118,11,0,-1.0
61,416163,0,22118,305,0,-1.0
62,416163,0,22118,29,0,-1.0
63,416163,0,22118,38,0,-1.0
64,416163,0,22118,47,0,-1.0
65,416163,0,22118,75,0,-1.0
66,416163,0,22118,31,0,-1.0
67,416163,0,22118,10,0,-1.0
68,416163,0,22118,42,0,-1.0
69,416163,0,22118,44,0,-1.0
70,416163,0,22118,16,0,-1.0
71,416163,0,22118,51,0,-1.0
72,416163,0,22118,6,0,-1.0
73,416163,0,22118,0,0,-1.0
74,416163,0,22118,53,0,-1.0
75,416163,0,22118,7,0,-1.0
76,416163,0,22118,5,0,-1.0
77,416163,0,22118,19,0,-1.0
78,416163,0,22118,327,0,-1.0
79,416163,0,22118,479,0,-1.0
80,416163,0,22118,27,0,-1.0
81,416163,0,22118,8,0,-1.0
82,416163,0,22118,552,0,-1.0
83,416163,0,22118,223,0,-1.0
84,416163,0,22118,50,0,-1.0
85,416163,0,22118,2,0,-1.0
86,416163,0,22118,288,0,-1.0
87,416163,0,22118,2892,0,-1.0
88,416163,0,22118,4,0,-1.0
89,416163,0,22118,96,0,-1.0
90,416163,0,22118,179,0,-1.0
91,416163,0,22118,882,0,-1.0
92,416163,0,22118,275,0,-1.0
93,416163,0,22118,74,0,-1.0
94,416163,0,22118,20,0,-1.0
95,416163,0,22118,3,0,-1.0
96,416163,0,22118,37,0,-1.0
97,416163,0,22118,35,0,-1.0
98,416163,0,22118,122,0,-1.0
99,416163,0,22118,45,0,-1.0
100,416163,0,22118,76,0,-1.0
101,416163,0,22118,415,0,-1.0
102,416163,0,22118,531,0,-1.0
103,416163,0,22118,32,0,-1.0
104,416163,0,22118,56,0,-1.0
105,416163,0,22118,1,0,-1.0
106,416163,0,22118,48,0,-1.0
107,416163,0,22118,93,0,-1.0
108,416163,0,22118,13,0,-1.0
109,416163,0,22118,63,0,-1.0
110,416163,0,22118,101,0,-1.0
111,416163,0,22118,33,0,-1.0
112,416163,0,22118,129,0,-1.0
113,416163,0,22118,198,0,-1.0
114,416163,0,22118,259,0,-1.0
115,416163,0,22118,107,0,-1.0
116,416163,0,22118,26,0,-1.0
117,416163,0,22118,52,0,-1.0
118,416163,0,22118,32,19,0.4043
119,416163,0,22118,24,8,-0.010700000000000015
120,416163,0,22118,13,24,0.37357999999999997
121,416163,0,22118,18,25,0.5796
122,416163,0,22118,76,4,0.658
123,416163,0,22118,86,8,0.48697999999999997
124,416163,0,22118,14,8,-0.23803333333333335
125,416163,0,22118,61,10,0.455775
126,416163,0,22118,6,5,0.36260000000000003
127,416163,0,22118,16,1,0.0
128,416163,0,22118,308,25,0.39562857142857144
129,416163,0,22118,116,25,0.33134285714285716
130,416163,0,22118,2,2,0.69765
131,416163,0,22118,331,24,0.4955923076923077
132,416163,0,22118,5,10,0.6865
133,416163,0,22118,83,12,0.5989428571428571
