,shareCount
0,0
1,0
2,0
3,1
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,2
12,1
13,28
14,0
15,0
16,3
17,0
18,6
19,0
20,4
21,0
22,2
23,0
24,4
25,9
26,45
27,149
28,34
29,18
30,7
31,3
32,1
33,1
34,21
35,0
36,7
37,0
38,0
39,0
40,3
41,15
42,21
43,92
44,150
45,1023
46,30
47,18
48,258
49,24
50,9
51,90
52,23
53,40
54,55
55,221
56,12
57,46
58,18
59,115
60,17
61,12
62,15
63,85
64,28
65,1125
66,14
67,370
68,14
69,22
70,40
71,28
72,11
73,305
74,29
75,38
76,47
77,40
78,29
79,75
80,31
81,10
82,42
83,44
84,24
85,16
86,51
87,31
88,6
89,38
90,51
91,0
92,10
93,21
94,53
95,7
96,5
97,9
98,22
99,19
100,327
101,29
102,44
103,479
104,27
105,5
106,5
107,14
108,8
109,5
110,552
111,12
112,223
113,50
114,12
115,2
116,288
117,42
118,6
119,2892
120,4
121,5
122,5
123,21
124,4
125,96
126,27
127,2
128,7
129,179
130,55
131,8
132,0
133,882
134,0
135,275
136,2
137,74
138,20
139,23
140,12
141,3
142,38
143,7
144,24
145,37
146,35
147,9
148,122
149,40
150,4
151,35
152,45
153,76
154,16
155,415
156,28
157,531
158,44
159,0
160,32
161,12
162,6
163,27
164,18
165,56
166,27
167,1
168,48
169,93
170,5
171,13
172,63
173,0
174,1
175,17
176,101
177,8
178,33
179,9
180,129
181,9
182,198
183,12
184,259
185,107
186,75
187,38
188,3
189,29
190,0
191,4
192,27
193,3
194,7
195,1
196,14
197,11
198,16
199,4
200,26
201,0
202,12
203,10
204,22
205,52
206,32
207,40
208,6
209,24
210,13
211,18
212,76
213,86
214,14
215,61
216,6
217,16
218,308
219,116
220,2
221,331
222,5
223,83
224,20
225,145
226,12
227,19
228,5
229,16
230,288
231,1
232,7
233,149
234,33
235,1
236,17
237,10
238,35
239,4
240,19
241,11
242,48
243,96
244,7
245,66
246,26
247,29
248,18
249,534
250,10
251,61
252,20
253,1
254,67
255,5
256,14
257,52
258,19
259,171
260,16
261,11
262,99
263,109
264,28
265,14
266,8
267,13
268,4
269,17
270,2
271,17
272,7
273,4
274,4
275,29
276,15
277,35
278,8
279,14
280,9
281,18
282,4
283,103
284,310
285,65
286,7
287,2
288,7
289,59
290,2
291,13
292,1
293,45
294,11
295,68
296,1
297,8
298,4
299,79
300,262
301,5
302,11
303,5
304,4
305,181
306,32
307,5
308,5
309,0
310,35
311,66
312,4
313,7
314,0
315,0
316,29
317,47
318,13
319,25
320,25
321,6
322,1
323,1888
324,95
325,53
326,153
327,7
328,23
329,15
330,31
331,9
332,34
333,11
334,48
335,0
336,9
337,31
338,10
339,1
340,39
341,6
342,7
343,29
344,75
345,34
346,58
347,19
348,1346
349,122
350,0
351,15
352,14
353,53
354,11
355,25
356,5
357,13
358,2
359,12
360,1476
361,35
362,4302
363,13
364,22
365,32
366,17
367,0
368,8
369,5
370,5
371,11
372,113
373,38
374,49
375,23
376,0
377,31
378,7
379,71
380,536
381,5
382,42
383,2
384,49
385,11
386,24
387,0
388,32
389,404
390,17
391,31
392,466
393,7
394,42
395,3
396,16
397,10
398,43
399,2
400,44
401,11
402,1
403,18
404,19
405,5
406,6
407,22
408,17
409,27
410,98
411,6
412,293
413,25
414,13
415,11
416,39
417,43
418,31
419,22
420,63
421,69
422,64
423,104
424,152
425,55
426,12
427,17
428,87
429,7
430,13
431,13
432,1
433,84
434,54
435,222
436,3
437,0
438,40
439,42
440,11
441,58
442,35
443,60
444,48
445,18
446,86
447,19
448,60
449,15
450,48
451,664
452,17
453,0
454,146
455,3
456,44
457,15
458,6
459,2
460,9
461,7
462,17
463,139
464,0
465,7
466,8
467,40
468,84
469,156
470,28
471,130
472,54
473,15
474,8
475,3
476,2
477,22
478,0
479,7
480,0
481,39
482,0
483,4
484,5
485,75
486,2
487,12
488,16
489,11
490,34
491,6
492,193
493,5
494,19
495,47
496,2
497,8
498,5
499,30
500,27
501,74
502,12
503,4
504,5
505,12
506,135
507,4
508,14
509,10
510,10
511,109
512,14
513,21
514,51
515,113
516,29
517,130
518,25
519,52
520,43
521,9
522,21
523,96
524,73
525,48
526,259
527,6
528,25
529,16
530,34
